mic_id,year,stdate,durration,events,involved,fatalmin,fatalmax,fatalmin_pc,fatalmax_pc,full_on_war,mean_democracy,min_democracy,mean_mil_power,min_mil_power,maxdiff_mil_power,mean_pop,total_pop,rivals_rate,major_powers_involved,total_trade,total_trade_pc,mean_dist,min_dist,total_alliances,mean_alliances,min_alliances,total_igos,mean_igos,min_igos
328,1922,1922-09-01,196,6,4,0,0,0,0,0,0.4559476384752175,0.13450399703174454,0.03473038693333333,5.976120046710782e-7,0.09450981638799533,26754500,160527000,0.3333333333333333,3,69000000,0.42983423349343103,2387.073136771772,1723.7380018680296,0,0,0,29,9.666666666666666,9
625,1922,1922-07-29,1,3,4,0,0,0,0,0,0.5222642781939609,0.19590511634654936,0.033839602983333335,1.156515263880714e-6,0.09450925748473613,22880500,137283000,0,3,56000000,0.407916493666368,1848.462043967138,1052.763448086775,0,0,0,68,22.666666666666668,20
1668,1922,1922-11-01,305,2,2,0,0,0,0,0,-0.32707485393195523,-0.45981652049514604,0.14037165000000001,2.92492760835153e-7,0.14437878750723915,301361000,602722000,1,1,11000000,0.018250536731693884,5799.33495771668,5799.33495771668,0,0,0,5,5,5
1779,1922,1922-06-01,1,2,2,0,0,0,0,0,-0.42503656956711205,-0.45981652049514604,0.07327546154999999,3.364069237918216e-7,0.1443787435930762,71482000,142964000,0,1,0,0,3370.545482497966,3370.545482497966,0,0,0,0,0,0
3181,1922,1922-08-01,1,9,4,0,0,0,0,0,0.6571100244452424,9.314112964434976e-4,0.035839048725,5.25934493769958e-7,0.09450988806550623,26267750,105071000,0,2,20000000,0.19034747932350507,1188.348577939962,1140.012200300456,0,0,0,37,18.5,15
55,1923,1923-08-29,3,3,2,0,0,0,0,0,0.11269863002292302,0.1100385442476934,0.016740465,7.312557404326124e-7,0.029085351744259566,22255000,44510000,0,1,13000000,0.29206919793304875,1052.763448086775,1052.763448086775,0,0,0,25,25,25
133,1923,1923-01-15,15,4,3,2,25,2.2526581366011892e-8,2.815822670751487e-7,0,0.9057937512008175,0.7434531406968741,0.03985250085,6.278740482822655e-7,0.09904534912595171,22196000,88784000,0,2,10000000,0.11263290683005947,1627.787383724667,1618.0996507281488,0,0,0,13,6.5,6
177,1923,1923-01-10,2,4,3,0,0,0,0,0,0.9769826169578646,0.9252307936103765,0.0632981905,1.4724342205693685e-6,0.09066660956577943,42660250,170641000,0.5,1,158000000,0.9259204997626597,763.6536803191095,649.9555176842799,0,0,0,48,24,24
241,1923,1923-04-01,1,2,2,0,0,0,0,0,0.3755809976769598,-0.459875934445226,0.1018997985,7.6966995341729e-7,0.10475285033004658,90349000,180698000,1,2,43000000,0.23796610919877365,2503.395982099761,2503.395982099761,0,0,0,10,10,10
1240,1923,1923-09-01,1,2,2,0,0,0,0,0,0.12817503003484984,0.0382461333972149,0.0039525929,3.217587254901961e-7,0.0062638945412745095,8761000,17522000,1,0,1000000,0.05707111060381235,327.6959495643609,327.6959495643609,0,0,0,19,19,19
1669,1923,1923-12-01,184,1,2,0,0,0,0,0,0.18234908592707255,0.1100385442476934,0.01660473195,4.162088321388917e-7,0.02908566679116786,24203500,48407000,1,1,0,0,4474.952717668175,4474.952717668175,0,0,0,4,4,4
1780,1923,1923-08-08,25,2,2,0,0,0,0,0,0.1640712354600891,0.1100385442476934,0.01767514965,5.042840363870552e-7,0.029085578715963612,25461000,50922000,1,1,38000000,0.7462393464514355,720.7591255377281,720.7591255377281,0,0,0,24,24,24
2130,1923,1923-12-01,1,2,2,0,0,0,0,0,0.14128448119883455,0.02083496774338462,3.8639128e-4,2.480218533333333e-7,5.865181481466667e-4,1480000,2960000,1,0,0,0,1047.9661463697032,1047.9661463697032,0,0,0,10,10,10
3182,1923,1923-01-13,1,6,2,0,0,0,0,0,0.13454599753751356,9.314112964434976e-4,0.0072203942,5.49345631786772e-7,0.008903244654368214,12190500,24381000,1,0,14000000,0.5742176284811944,643.6519813119738,643.6519813119738,0,0,0,16,16,16
