pre_agg,post_agg,change_agg,treatment,cutpoint_margin,use,military_spending,total_pop,urban_pop,us_ally,entrance_year,imports,exports,ongoing_civwar,soccer_popular,infant_mortality,life_expectancy,democracy
0,0,0,1,4,0,55376000,29814000,4377000,1,1831,803400000,494000000,0,1,NA,NA,0
7,10,3,1,4,0,43662960000,218145000,53420000,0,NA,179300000,210700000,0,1,44,67.4,0
1,0,-1,1,4,0,4791138000,52807000,18648000,1,1816,12277300000,10797000000,0,1,24,70.54,1
0,0,0,1,4,0,48128000,2693000,1161000,1,1882,149900000,191300000,0,1,48,68.25,1
2,1,-1,1,4,0,428781000,22283000,9079000,1,1841,1178700000,1491900000,0,1,60,65.23,0
1,0,-1,1,4,0,911700000,93497000,32355000,1,1822,2489160000,2310540000,0,1,109,55.66,0
0,0,0,1,4,0,4102916000,54751000,15935000,1,1816,27810100000,22215400000,0,1,33,70.83,1
1,3,2,1,4,0,7972585000,35025000,11064000,1,1855,14641600000,24260000000,0,1,116,52.63,0
1,0,-1,1,4,0,8024579000,56508000,15874000,1,1816,91102300000,75286700000,0,1,18,73.44,1
0,0,0,1,4,0,10345629000,35902000,10500000,0,1918,17023000000,13267100000,0,1,23,70.65,0
2,0,-2,1,4,0,2103330000,11327000,5929000,1,1839,6370800000,3952000000,0,1,45,67.36,0
0,0,0,1,4,0,375760000,3515000,616000,0,1922,17524700000,20871700000,0,0,10,73.09,1
6,5,-1,1,4,0,29120000000,148146000,67957000,0,1816,26751900000,44047200000,0,1,24,69.11,0
1,1,0,1,4,0,240000000,13937000,2316000,0,1960,1360240000,1858090000,0,1,94,52.85,0
0,0,0,1,4,0,1829000000,44929000,13328000,0,1920,27760000000,29510300000,0,1,56,57.66,1
0,0,0,1,4,0,257000000,18238000,3287000,0,1960,3930790000,3796150000,0,1,97,49.53,0
0,0,0,1,4,0,266000000,19658000,4851000,0,1960,7004120000,10305900000,0,1,85,50.5,0
0,0,0,1,5,0,203090000,10029000,1979000,0,1918,270100000,220180000,0,1,55,66.91,0
0,1,1,1,5,0,3704519000,13853000,3774000,1,1816,46574000000,43741100000,0,1,11,74.11,1
0,0,0,1,5,0,377000000,9674000,1511000,0,1825,9570320000,6608980000,0,1,27,71.98,0
0,0,0,1,5,0,76000000,21343000,4192000,0,1957,5903110000,2363930000,0,1,62,59.45,1
0,0,0,1,6,0,83600000,23508000,4414000,0,1960,781900000,1000800000,0,1,143,42.99,0
0,1,1,1,6,0,1559003000,121213000,53081000,1,1822,26482300000,23328800000,0,1,79,61.49,0
0,0,0,1,6,0,27460000000,62062000,20744000,1,1955,270000000000,341000000000,0,1,11,73.9,1
0,0,0,1,6,0,334000000,9215000,1394000,0,1825,8934870000,5762750000,0,1,34,70.11,0
0,0,0,1,6,0,120000000,15731000,2714000,0,1960,1850880000,1748750000,0,1,96,51.01,0
0,1,1,1,9,0,1386000000,27310000,10833000,0,1847,8946330000,5127330000,0,1,63,65.45,0
0,0,0,0,0,0,4034000,2962000,459000,0,1922,121000000,63860000,0,0,NA,NA,1
0,0,0,0,0,1,646400000,28310000,5424000,0,1918,1377310000,975700000,0,1,95,61.31,0
0,0,0,0,0,1,599807000,7520000,1721000,0,1816,2894800000,2733800000,0,1,17,72.85,1
3,2,-1,0,0,1,4128544000,46163000,8233000,1,1816,6609400000,7209100000,0,1,32,69.4,1
0,0,0,0,0,1,504453000,9464000,894000,1,1830,6055242000,6063241000,0,1,27,70.06,1
0,1,1,0,0,1,23542000,5144000,958000,1,1854,165410000,131970000,0,1,119,54.72,0
1,1,0,0,0,1,947858000,10303000,2616000,0,1918,1878390000,1553320000,0,1,43,68.79,0
0,0,0,0,0,1,271910000,7586000,2318000,0,1919,7109800000,5278000000,0,1,26,70.11,1
0,0,0,0,0,1,1296483000,9738000,1012000,1,1830,20962250000,21318550000,0,1,21,70.68,1
0,0,0,0,0,1,104878000,22343000,8127000,1,1831,1062360000,1173520000,0,1,82,60.04,1
0,1,1,0,0,1,1158033000,34858000,11703000,1,1816,9590720000,5158340000,0,1,34,71.22,0
