mic_id,micname,year,stdate,enddate,days_duration,militarized_events,total_involved,fatalmin1,fatalmin2,fatalmax1,fatalmax2,fatalmin_ratio,fatalmax_ratio,mean_polity21,mean_v2x_polyarchy1,mean_xm_qudsest1,mean_polity22,mean_v2x_polyarchy2,mean_xm_qudsest2,polity2_ratio,v2x_polyarchy_ratio,xm_qudsest_ratio
88,The Franco-Prussian War of 1870–1871,1870,1870-07-06,1871-02-17,227,96,5,41848,32361,51885,38980,1.2931615215846235,1.3310672139558748,4.6,4.163755458515284,4.684419415922013,2.9124999999999996,3.1075327510917026,3.7553306914844797,1.5793991416309014,1.3398910943263658,1.247405302160025
187,The Second Russo-Turkish War of 1877–1878,1876,1876-10-31,1878-03-03,489,28,2,35235,24546,47205,33895,1.4354681007088732,1.3926832866204455,1,1.2161572052401746,1.3495556733591825,3.6999999999999997,2.0611353711790397,4.1251223650567965,0.2702702702702703,0.5900423728813557,0.3271553069045992
1533,The First Central American War of 1876,1876,1876-01-01,1876-04-21,112,12,2,625,601,1150,1110,1.0399334442595674,1.0360360360360361,3.25,1.9137554585152838,4.024760156756432,5.05,1.658296943231441,4.659021549934202,0.6435643564356436,1.1540487162606978,0.8638638206799607
1518,The War of the Pacific of 1879–1883,1879,1879-02-11,1883-10-19,1613,34,3,8096,2801,10610,4121,2.8903962870403426,2.5746178112108713,3.25,2.6310043668122267,3.817285269882648,6.8500000000000005,3.593886462882096,5.078412142090012,0.4744525547445255,0.7320777642770351,0.7516690577838077
3725,The Conquest of Egypt of 1882,1882,1882-05-20,1882-09-15,119,11,3,60,770,106,1035,0.07792207792207792,0.10241545893719807,8.649999999999999,5.578602620087336,5.657661806455015,NA,1.6484716157205241,NA,NA,3.3841059602649004,NA
202,The Sino-French War of 1884–1885,1883,1883-03-25,1885-03-29,736,21,2,223,3722,315,4700,0.05991402471789361,0.06702127659574468,8.649999999999999,6.551310043668122,5.768322734970594,2.8,1.353711790393013,3.6620639765498186,3.089285714285714,4.839516129032258,1.575156188397661
1535,The Second Central American War of 1885,1885,1885-03-01,1885-04-02,24,9,5,800,175,900,225,4.571428571428571,4,5.95,2.7292576419213974,4.6196752795467315,5.949999999999999,1.802401746724891,4.8106756358044676,1.0000000000000002,1.5142337976983646,0.9602965631612791
196,Franco-Siamese War (1893),1893,1893-03-01,1893-08-03,156,13,4,3,16,3,16,0.1875,0.1875,8.649999999999999,5.947052401746725,5.7343998762762585,4.824999999999999,3.7707423580786026,3.570580894916651,1.7927461139896372,1.5771569195136075,1.6060131516527698
1490,The First Sino-Japanese War of 1894–1895,1894,1894-06-09,1895-03-26,291,23,2,9751,825,11260,1305,11.81939393939394,8.628352490421456,2.8,1.3438864628820961,3.6620639765498186,5.95,2.4639737991266375,4.504258266776096,0.4705882352941176,0.5454142667257421,0.8130226464946747
1569,The Greco-Turkish War of 1897,1896,1896-12-01,1897-05-20,171,16,2,550,1300,650,1500,0.4230769230769231,0.43333333333333335,10,3.6528384279475983,5.657867582078162,1,1,1.3495556733591825,10,3.6528384279475983,4.192392869569544
1557,The Spanish-American War of 1898,1898,1898-01-25,1898-08-13,201,49,2,1582,2651,1682,2846,0.5967559411542814,0.5910049191848208,10,4.939956331877729,6.092280761973574,7.3,2.896288209606987,5.02048774992683,1.36986301369863,1.705616283452695,1.2134838416969276
31,The Boxer Rebellion of 1900,1900,1900-05-30,1901-02-10,257,87,10,449,1844,823,3285,0.24349240780911063,0.25053272450532726,5.78125,3.90548970679975,4.465466421736577,3.1937499999999996,1.5502183406113537,3.688239224771561,1.8101761252446187,2.519315895372233,1.2107312323302877
180,The Russo-Japanese War of 1904 –1905,1903,1903-07-01,1905-09-09,802,34,2,45900,43621,54955,50085,1.0522454780954127,1.097234701008286,1,1.4519650655021834,1.2352074070012724,5.95,2.5622270742358078,4.432071837699216,0.1680672268907563,0.5666808691947167,0.2786975148946356
1202,The Fourth Central American War of 1907,1906,1906-12-01,1907-03-24,114,21,3,968,328,1839,550,2.951219512195122,3.3436363636363637,4.15,2.508187772925764,4.112442779487082,3.25,1.9039301310043668,3.913936777897313,1.276923076923077,1.3173738532110089,1.0507177332834723
1205,The Third Central American War of 1906,1906,1906-03-01,1906-07-15,137,13,3,400,551,2800,1200,0.7259528130671506,2.3333333333333335,1.45,1.8351528384279474,2.845064060531337,4.15,2.5229257641921397,4.112442779487082,0.34939759036144574,0.7273907399394202,0.6918185159250249
1086,The Second Spanish-Moroccan War of 1909–1910,1909,1909-05-09,1910-01-01,238,9,2,1425,2201,2940,4025,0.6474329850068151,0.7304347826086957,8.2,2.8668122270742358,5.412907479090151,2.8,1.2358078602620086,3.97883652074623,2.9285714285714284,2.3197879858657244,1.360424699749906
114,The Italian-Turkish War of 1911–1912,1911,1911-09-26,1912-10-15,386,18,2,3410,9350,4950,11855,0.36470588235294116,0.4175453395191902,5.05,3.947598253275109,4.591855952234786,5.05,2.4050218340611353,4.391260282787741,1,1.6413980935088515,1.0456806603410216
1250,The First Balkan War of 1912–1913,1912,1912-09-03,1913-04-21,205,35,4,23347,28963,30527,36923,0.806097434658012,0.8267746391138315,6.25,3.5709606986899565,4.57576150601226,5.05,2.2379912663755457,4.29805035399134,1.2376237623762376,1.595609756097561,1.0646132848962613
1251,The Second Balkan War of 1913,1913,1913-04-18,1913-08-10,115,22,5,12306,15256,16845,20670,0.8066334556895648,0.8149492017416545,8.65,3.5906113537117905,4.638681176044517,5.05,2.680131004366812,3.5784598392301548,1.712871287128713,1.339714867617108,1.2962786741914227
257,World War I of 1914–1918,1914,1914-07-23,1918-11-25,1565,6497,23,4471572,4489876,5391858,5321448,0.9959232727139903,1.0132313610881851,6.505,4.1784934497816595,4.617637317491015,4.569999999999999,2.897555993801944,4.059608453256307,1.4234135667396064,1.4420751346029972,1.1374587896000414
197,Allied intervention in the Russian Civil War (1917),1918,1918-01-01,1922-06-24,1625,67,9,2311,4347,3095,6125,0.5316310098918795,0.5053061224489795,7,4.461322520274485,5.175284776306578,5.178571428571429,2.319401122894573,4.526916219310778,1.3517241379310345,1.9234803657880577,1.1432252168109516
2603,Lithuanian Independence (1920),1918,1918-12-12,1920-07-01,568,38,4,444,419,820,770,1.0596658711217184,1.0649350649350648,7.074999999999999,3.372816593886463,5.226260104828079,6.175,2.2134279475982535,4.593005537976097,1.1457489878542508,1.523797780517879,1.1378736780559215
