warnum,start_year,duration,side1,side2,side1_initiator,side2_initiator,side1_winner,side2_winner,side1_deaths,side2_deaths,side1_polyarchy,side2_polyarchy,side1_polity2,side2_polity2,side1_qudsest,side2_qudsest,min_polyarchy,min_polity2,min_qudsest
153,1954, 2,China,Taiwan,1,0,1,0,     2006,     2734,-1.22405943,-1.19226431,-1.21715383,-1.21715383,-1.212912941,-1.18604966,-1.2240594,-1.21715383,-1.22404448
155,1956, 1,"United Kingdom, France, Israel",Egypt,1,0,1,0,      221,     9000, 1.07107739,-1.21346106, 1.24942779,-1.08012152, 1.211002807,-1.08276348,-1.2134611,-1.08012152,-1.08276348
156,1956, 1,Russia,Hungary,1,0,1,0,     1500,      926,-1.10747731,-1.00855916,-1.08012152,NA,-1.029477186,-0.98052729,-1.1074773,-1.08012152,-1.02947719
158,1957, 2,"France, Spain",Morocco,0,1,1,0,      244,     3000,-0.42564857,-1.21699385,-0.53199227,-0.80605689,-0.556753393,-0.75583568,-1.2311250,-1.08012152,-1.12411060
159,1958, 1,China,Taiwan,1,0,0,0,      300,     1500,-1.23819060,-1.19579710,-1.21715383,-1.21715383,-1.201781407,-1.18604966,-1.2381906,-1.21715383,-1.20178141
160,1962, 1,China,India,1,0,1,0,      500,     1353,-1.24172339, 0.81789401,-1.21715383, 1.11239548,-1.176388696, 0.62797056,-1.2417234,-1.21715383,-1.17638870
163,1965,11,Vietnam,"United States, South Korea, Thailand, Cambodia, Republic of Vietnam, Philippines, Australia",0,1,1,0, 40600000,  3391796,-0.69548074,-0.07571949,-1.12973667, 0.16687252,-1.050154134,-0.02154122,-1.2417234,-1.35418614,-1.36424003
166,1965, 1,Pakistan,India,1,0,1,0,     3800,     3261,-1.00149357, 0.88148425, 0.01613698, 1.11239548,-0.297600984, 0.64777453,-1.0014936, 0.01613698,-0.29760098
169,1967, 1,Israel,"Egypt, Syria, Jordan",1,0,1,0,     3000,    18600, 0.87795146,-0.98382962, 1.11239548,-1.17147639, 0.876730487,-1.13309468,-1.1216085,-1.35418614,-1.32563339
170,1968, 6,Vietnam,"United States, Thailand, Laos",1,0,1,0,    36000,    69750,-0.70518069,-0.09003339,-1.09725056, 0.15316929,-1.015411170,-0.07386878,-1.0968789,-1.21715383,-1.14394243
172,1969, 2,Israel,Egypt,0,1,0,0,      736,    10000, 0.91857856,-0.80542365, 1.11239548,-1.08012152, 0.911604002,-0.95394407,-0.8213212,-1.08012152,-0.96139917
175,1969, 1,El Salvador,Honduras,1,0,1,0,      700,     1200,-0.80012446,-0.95203449,-0.12089533,-0.25792765,-0.267372470,-0.37312043,-0.9520345,-0.25792765,-0.37312043
176,1970, 2,Vietnam,"United States, Cambodia, Republic of Vietnam",1,0,0,0,     2400,    12250,-0.70120630,-0.09062219,-1.08012152,-0.01812110,-0.980178546,-0.19663732,-1.0262231,-1.08012152,-1.02588000
178,1971, 1,India,Pakistan,0,1,1,0,     3241,     7982, 0.70131189,-0.85664912, 1.11239548,-0.12089533, 0.717301737,-0.38243365,-0.8566491,-0.12089533,-0.38243365
181,1973, 1,Israel,"Iraq, Egypt, Syria, Jordan, Saudi Arabia",0,1,1,0,    14190,    11601, 1.06165661,-1.09405271, 1.11239548,-1.27196675, 0.851534058,-1.27859651,-1.4254285,-1.49121845,-1.75423675
184,1974, 1,Turkey,Cyprus,1,0,1,0,     2000,     1000, 0.63772164, 0.45401649, 1.11239548, 1.24942779, 0.724508640, 0.35736664, 0.4540165, 1.11239548, 0.35736664
186,1975, 2,"Cuba, Angola","Congo - Kinshasa, South Africa",0,1,0,0,    10000,      800,-1.22847542,-0.90522501,-1.08012152,-0.46347611,-1.104618780,-0.80253872,-1.2311250,-1.35418614,-1.32545514
187,1977, 2,"Cuba, Ethiopia",Somalia,0,1,0,0,     5000,    32000,-1.22935862,-1.20639547,-1.08012152,-1.08012152,-1.082428545,-1.12389668,-1.2311250,-1.08012152,-1.13279792
189,1977, 3,Vietnam,Cambodia,0,1,0,0,     9000,    15000,-0.94496891,-1.05448544,-1.08012152,-1.08012152,-1.038686053,-1.07128959,-1.1251413,-1.08012152,-1.17719633
190,1978, 2,Tanzania,"Uganda, Libya",0,1,1,0,     3000,     3500,-0.62348489,-1.19344191,-0.94308921,-1.08012152,-0.851165771,-1.22201548,-1.2275922,-1.08012152,-1.42031270
193,1979, 1,China,Vietnam,1,0,1,0,    13000,     8000,-1.14633802,-0.94496891,-1.08012152,-1.08012152,-1.087700971,-1.03868605,-1.1463380,-1.08012152,-1.08770097
199,1980, 9,Iran,Iraq,0,1,0,0,  6750000,  4500000,-0.97597897,-1.20482534,-0.85173433,-1.35418614,-0.764088370,-1.33159234,-1.3159120,-1.35418614,-1.37378366
202,1982, 1,United Kingdom,Argentina,0,1,1,0,      255,      746, 1.34074714,-1.21699385, 1.24942779,-1.21715383, 1.327686807,-1.18271566,-1.2169938,-1.21715383,-1.18271566
205,1982, 1,Israel,Syria,1,0,0,0,      455,     1200, 1.18530431,-0.96263287, 0.70129854,-1.35418614, 0.875152840,-1.24311051,-0.9626329,-1.35418614,-1.24311051
207,1986, 2,Chad,Libya,1,0,1,0,     2000,    14000,-1.20816187,-1.23112501,-1.08012152,-1.08012152,-1.087817205,-1.09988634,-1.2311250,-1.08012152,-1.10009528
208,1987, 1,China,Vietnam,1,0,0,0,     1800,     2200,-1.12867406,-0.87431308,-1.08012152,-1.08012152,-1.019030297,-1.02670476,-1.1286741,-1.08012152,-1.02670476
211,1990, 2,"United States, Canada, United Kingdom, France, Italy, Morocco, Egypt, Syria, Saudi Arabia, Kuwait, Qatar, United Arab Emirates, Oman",Iraq,0,1,1,0,     2466,   560000,-0.20333505,-1.19932989,-0.33171427,-1.35418614,-0.351918284,-1.34720414,-1.4254285,-1.49121845,-1.85846533
215,1992, 1,"Croatia, Bosnia & Herzegovina",Yugoslavia,0,1,0,0,     3350,     3780,-0.54929627,-0.69060793,-0.32644380,-0.80605689,-0.053563044,-0.51466654,-0.6906079,-0.80605689,-0.51466654
216,1993, 2,Armenia,Azerbaijan,1,0,1,0,    11000,    17000, 0.66775037,-0.35852553, 0.83833085,-0.53199227, 0.348770236,-0.40334161,-0.7082719,-0.53199227,-0.44044913
217,1995, 1,Peru,Ecuador,0,1,0,0,      950,      550,-0.11829572, 1.02279591, 0.01613698, 1.11239548,-0.083058276, 0.78635296,-0.1182957, 0.01613698,-0.08305828
219,1998, 3,Eritrea,Ethiopia,1,0,0,0,   150000,   210000,-1.03328870,-0.51750115,-0.94308921, 0.01613698,-0.852369448,-0.13175971,-1.0544854,-0.94308921,-0.90489489
221,1999, 1,"United States, United Kingdom, Netherlands, France, Germany, Italy, Turkey",Yugoslavia,1,0,1,0,        2,    35000, 1.43916061,-0.48923882, 1.17112361,-0.94308921, 1.344425157,-0.57559547,-0.4892388,-0.94308921,-0.57559547
223,1999, 1,India,Pakistan,0,1,1,0,      474,      698, 1.18530431,-0.38325507, 1.11239548,-0.94308921, 0.781012069,-0.72020691,-0.3832551,-0.94308921,-0.72020691
225,2001, 1,"United States, Canada, United Kingdom, France, Australia",Afghanistan,1,0,0,0,        2,    20000, 1.53575722,-1.19226431, 1.22202133,NA, 1.290081555,-1.33512309,-1.1922643, 1.11239548,-1.33512309
227,2003, 1,"United States, United Kingdom, Australia",Iraq,1,0,0,0,      173,    21000, 1.55978020,-1.04388707, 1.24942779,NA, 1.513500930,-1.05210419,-1.0438871, 1.24942779,-1.05210419
