County Name,Precinct Name,Precinct Code,Region Name,Media Market,Registered Voters,Ballots Counted,Official Voter Turnout
Ashland,PRECINCT ASHLAND CITY 3-D,AAV,Northeast,Cleveland,624,140,22.44%
Ashland,PRECINCT ASHLAND CITY 4-A,AAZ,Northeast,Cleveland,852,224,26.29%
Ashland,PRECINCT ASHLAND CITY 4-B,ABB,Northeast,Cleveland,552,121,21.92%
Ashland,PRECINCT ASHLAND CITY 4-C,ABC,Northeast,Cleveland,889,248,27.90%
Ashland,PRECINCT CLEAR CREEK,ABG,Northeast,Cleveland,"1,297",518,39.94%
Ashland,PRECINCT GREEN 1,ABI,Northeast,Cleveland,"1,103",399,36.17%
Ashland,PRECINCT GREEN 2,ABJ,Northeast,Cleveland,588,282,47.96%
Ashland,PRECINCT LOUDONVILLE 2,ABN,Northeast,Cleveland,"1,086",446,41.07%
Ashland,PRECINCT LOUDONVILLE 1,ABO,Northeast,Cleveland,"1,300",534,41.08%
Ashland,PRECINCT JACKSON 1,ABS,Northeast,Cleveland,"1,088",470,43.20%
Ashland,PRECINCT JACKSON 2,ABT,Northeast,Cleveland,"1,230",540,43.90%
Ashland,PRECINCT LAKE,ABV,Northeast,Cleveland,414,202,48.79%
Ashland,PRECINCT MILTON 1,ABZ,Northeast,Cleveland,"1,029",472,45.87%
Ashland,PRECINCT MILTON 3,ACA,Northeast,Cleveland,513,274,53.41%
Ashland,PRECINCT JEROMESVILLE,ACB,Northeast,Cleveland,303,119,39.27%
Ashland,PRECINCT MOHICAN,ACC,Northeast,Cleveland,"1,045",502,48.04%
Ashland,PRECINCT MONTGOMERY 1,ACE,Northeast,Cleveland,639,268,41.94%
Ashland,PRECINCT MONTGOMERY 2,ACF,Northeast,Cleveland,816,351,43.01%
Ashland,PRECINCT MONTGOMERY 3,ACH,Northeast,Cleveland,601,271,45.09%
Ashland,PRECINCT ORANGE 1,ACI,Northeast,Cleveland,"1,042",448,42.99%
Ashland,PRECINCT ORANGE 2,ACJ,Northeast,Cleveland,608,270,44.41%
Ashland,PRECINCT PERRY,ACM,Northeast,Cleveland,"1,299",530,40.80%
Ashland,PRECINCT RUGGLES,ACN,Northeast,Cleveland,622,268,43.09%
Ashland,PRECINCT SULLIVAN 1,ACO,Northeast,Cleveland,881,349,39.61%
Ashland,PRECINCT SULLIVAN 2,ACP,Northeast,Cleveland,766,298,38.90%
