county_name,region_name,media_market,prop_aug_issue1_yes,total_aug_turnout,total_reg_voters,prop_nov_issue1_yes,prop_nov_issue2_yes,total_nov_votes,total_2020_reg_voters,total_2020_votes,prop_trump_votes,male_population,median_age,population,white_population,black_population,noncitizen,bach_degree,mast_degree,prof_degree,doct_degree,median_income,id
Mercer County,West,Dayton,0.7834946510443199,13741,29231,0.21,0.34,17498,29398,23907,0.8136529050069018,21424,39.4,42154,41039,547,520,3763,1656,177,70,68692,39107
Miami County,West,Dayton,0.6170433797141598,31766,75593,0.4,0.48,39740,75470,58361,0.7088809307585545,53756,41,107899,103271,4132,1310,11285,5866,752,332,66284,39109
Monroe County,Southeast,Wheeling,0.6264797507788162,3210,9163,0.33,0.44,4111,9572,7249,0.7536211891295351,6835,46.3,13514,13378,257,65,780,405,26,28,50503,39111
Montgomery County,West,Dayton,0.38989558527202783,136475,362257,0.59,0.6,166214,372139,270531,0.47696567121697697,259531,39,536136,405177,123884,13304,64727,32511,5851,4213,56543,39113
Morgan County,Central,Columbus,0.6308047303143929,3467,9013,0.42,0.45,4523,9262,6908,0.7297336421540244,6993,44.7,13955,13311,780,15,724,316,32,20,44848,39115
Morrow County,Central,Columbus,0.6557877660082069,10479,24928,0.4,0.48,12946,25186,18570,0.758050619278406,17657,42.6,34892,34360,498,108,2596,853,67,136,63411,39117
Muskingum County,Central,Zanesville,0.5732425068119891,18350,53467,0.46,0.49,24853,55078,40766,0.6835843595152823,42331,40.4,86346,82592,5188,158,6386,3579,567,250,52224,39119
Noble County,Southeast,Wheeling,0.672461752433936,2876,7901,0.36,0.42,4108,8138,6461,0.7947686116700201,8365,51.5,14166,13323,707,53,857,437,7,7,46144,39121
Ottawa County,Northwest,Toledo,0.4864260143198091,13408,30247,0.53,0.54,16929,30442,24243,0.6033906694716,20396,49.6,40479,39013,814,145,5164,2094,506,165,64463,39123
Paulding County,West,Ft. Wayne,0.719347219239854,4657,12460,0.29,0.45,6243,12811,9576,0.7399749373433584,9442,41.5,18858,18473,345,124,1531,519,20,35,59987,39125
Perry County,Central,Columbus,0.6305076011337284,7762,22332,0.42,0.52,11176,22541,16840,0.7337885985748218,17855,41,35439,35038,380,67,2124,1043,99,11,58616,39127
Pickaway County,Central,Columbus,0.600609756097561,14432,36309,0.45,0.48,18713,36306,28480,0.7230688202247191,30865,39.4,58458,55830,2958,195,5293,2242,270,175,63629,39129
Pike County,Central,Columbus,0.6220806794055201,4710,17417,0.39,0.47,7377,18124,12536,0.7304562858966177,13433,41.1,27271,26525,459,132,1817,784,86,79,44961,39131
Portage County,Northeast,Cleveland,0.419264251614715,46293,107095,0.61,0.58,56792,108884,83475,0.5509433962264151,79856,38.7,161897,150388,9674,2642,19109,10055,1237,1489,64163,39133
Preble County,West,Dayton,0.6762504563709383,10956,28271,0.37,0.47,14038,28654,21982,0.7743608406878355,20478,43.1,41027,40408,557,148,3268,1643,263,122,60527,39135
