"","What is your present religion, if any?","...2","Do you consider yourself to be an evangelical?","Do you attend religious services","How often do you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How often do you: Pray in public using some kind of physical object (rosary, tefillin, etc)","How often do you: Pray aloud before meals in the presence of people who don't belong to your religion","How often do you: Tell someone you'll pray for him or her","How often do you: Ask or offer to pray with someone","How often do you: Bring up your religion, unprompted, in conversation","How often do you: Ask others about their religion, unprompted, in conversation","How often do you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How often do you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How often do you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable do you feel when you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable do you feel when you: Pray in public using some kind of physical object (rosary, tefillin, etc)","How comfortable do you feel when you: Pray aloud before meals in the presence of people who don't belong to your religion","How comfortable do you feel when you: Tell someone you'll pray for him or her","How comfortable do you feel when you: Ask or offer to pray with someone","How comfortable do you feel when you: Bring up your religion, unprompted, in conversation","How comfortable do you feel when you: Ask others about their religion, unprompted, in conversation","How comfortable do you feel when you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable do you feel when you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable do you feel when you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable do you think someone outside your religion would be if they saw you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable do you think someone outside your religion would be if they saw you: Pray in public using some kind of physical object (rosary, tefillin, etc)","How comfortable do you think someone outside your religion would be if they saw you: Pray aloud before meals in the presence of people who don't belong to your religion","How comfortable do you think someone outside your religion would be if they saw you: Tell someone you'll pray for him or her","How comfortable do you think someone outside your religion would be if they saw you: Ask or offer to pray with someone","How comfortable do you think someone outside your religion would be if they saw you: Bring up your religion, unprompted, in conversation","How comfortable do you think someone outside your religion would be if they saw you: Ask others about their religion, unprompted, in conversation","How comfortable do you think someone outside your religion would be if they saw you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable do you think someone outside your religion would be if they saw you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable do you think someone outside your religion would be if they saw you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","How comfortable would you be seeing someone who practices a different religion from you: Pray in public with visible motions (sign of the cross, bowing, prostration, shokeling, etc)","How comfortable would you be seeing someone who practices a different religion from you: Pray in public using some kind of physical object (rosary, tefillin, etc)","How comfortable would you be seeing someone who practices a different religion from you: Pray aloud before meals in the presence of people who don't belong to that religion","How comfortable would you be seeing someone who practices a different religion from you: Tell someone ""I'll pray for you""","How comfortable would you be seeing someone who practices a different religion from you: Ask or offer to pray with you","How comfortable would you be seeing someone who practices a different religion from you: Bring up his or her own religion, unprompted, in conversation","How comfortable would you be seeing someone who practices a different religion from you: Ask you about your religion, unprompted, in conversation","How comfortable would you be seeing someone who practices a different religion from you: Decline some kind of food or beverage for religious reasons (kosher, halal, fasting rules, etc)","How comfortable would you be seeing someone who practices a different religion from you: Wear religious clothing/jewelry (hijab, kippah, wig, kara, turban, cross, etc)","How comfortable would you be seeing someone who practices a different religion from you: Participate in a public religious event on the streets (Corpus Christi procession, inauguration of Torah scrolls, etc)","What is your age?","What is your gender?","How much total combined money did all members of your HOUSEHOLD earn last year?","US Region"
"63","Atheist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat comfortably","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Not at all comfortable","Somewhat comfortably","Extremely comfortable","Very comfortable","Somewhat comfortably","Not so comfortable","60+","Female","$50,000 to $74,999","Pacific"
"64","None of these","Undecided","No","Never","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Never","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Extremely comfortable","Extremely comfortable","Somewhat comfortably","Extremely comfortable","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","18 - 29","Male","$0 to $9,999","West North Central"
"65","Agnostic",NA,"No","Never","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Never","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","I don't do this",NA,"I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Extremely comfortable",NA,"Extremely comfortable","60+","Female","$75,000 to $99,999","Pacific"
"66","Roman Catholic",NA,"Yes","Less than weekly","A few times per week","Once a month or less","Every day","A few times per month","Once a month or less","A few times per month","Once a month or less","Once a month or less","Every day","Once a year or less","Very comfortable","Very comfortable","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","18 - 29","Male","$25,000 to $49,999","South Atlantic"
"67","Roman Catholic",NA,"No","Less than weekly",NA,"Once a year or less","Once a year or less","A few times per month","Once a year or less","Once a month or less","Never","Never","Once a month or less","Never","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Not at all comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Not so comfortable","Not at all comfortable","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","60+","Female","$0 to $9,999","West North Central"
"68","None of these","non-practicing Catholic","No","Never","Never",NA,"Never","Once a year or less","Never","Never","Never",NA,"Never","Never","Not at all comfortable","I don't do this","I don't do this","Very comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this",NA,"I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Not so comfortable","Not so comfortable","Very comfortable","Very comfortable","Very comfortable","60+","Female","Prefer not to answer","Mountain"
"69","Mormon",NA,"Yes","Weekly or more","A few times per month","Never","A few times per month","Never","A few times per month","Once a year or less","Never","Once a month or less","Every day","A few times per month","Somewhat comfortably","I don't do this","Somewhat comfortably","I don't do this","Very comfortable","Not so comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Not so comfortable","Not so comfortable","Very comfortable","Not so comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","18 - 29","Male","$10,000 to $24,999","Mountain"
"70","Roman Catholic",NA,"Yes","Less than weekly","A few times per week","Never","A few times per week","A few times per month","A few times per week","A few times per month","A few times per month","Not applicable to my religious beliefs",NA,"Not applicable to my religious beliefs","Very comfortable","I don't do this","Very comfortable","Very comfortable",NA,"Very comfortable","Very comfortable",NA,"I don't do this","Very comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable",NA,"Not so comfortable","Not so comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","60+","Female","$25,000 to $49,999","East North Central"
"71","Orthodox Christian",NA,"No","Never","Never","Never","Once a month or less","Once a year or less","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","Extremely comfortable","Extremely comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Extremely comfortable","Extremely comfortable","I don't do this","I don't do this","I don't do this","I don't do this","Extremely comfortable","I don't do this","Somewhat comfortably","Not so comfortable","Extremely comfortable","Not so comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not so comfortable","Not so comfortable","18 - 29","Male","$0 to $9,999","Pacific"
"72","Protestant",NA,"No","Never","Never","Never","Once a year or less","A few times per month","Never","Once a year or less","Never","Never","Never","Never","Very comfortable","I don't do this","Extremely comfortable","Extremely comfortable","Not so comfortable","I don't do this","I don't do this","I don't do this","Extremely comfortable","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","60+","Female","$100,000 to $124,999","South Atlantic"
"73","None of these","Baptised","No","Weekly or more","Not applicable to my religious beliefs","Never","Never","Every day","A few times per month","Never","Never","Never","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Very comfortable","I don't do this","Very comfortable","Very comfortable","Very comfortable","I don't do this","I don't do this","Extremely comfortable","I don't do this","Not so comfortable","Very comfortable","I don't do this","Very comfortable","Very comfortable","Very comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Not at all comfortable","Not at all comfortable","Not at all comfortable","Very comfortable","Very comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","45 - 59","Male","$0 to $9,999","South Atlantic"
"74","Roman Catholic",NA,"Yes","Weekly or more","Every day","A few times per month","Every day","A few times per week","A few times per week","A few times per week","Never","Never","A few times per week","Never","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Very comfortable","I don't do this","Extremely comfortable","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","I don't do this","I don't do this","Very comfortable","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","60+","Female","$25,000 to $49,999","West South Central"
"75","Protestant",NA,"No","Less than weekly","Never","Never","Never","Never","Never","Once a year or less","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Very comfortable","Not so comfortable","Not so comfortable","Very comfortable","Very comfortable","Very comfortable","60+","Female","Prefer not to answer","Middle Atlantic"
"76","None of these","Unitarian Universalist","No","Less than weekly","Never","Never","Once a year or less","Never","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Not so comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Not so comfortable","Very comfortable","Very comfortable","Very comfortable","60+","Female","$25,000 to $49,999","Pacific"
"77","None of these","Polytheism","No","Never","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Once a year or less","Once a year or less","Never","A few times per month","A few times per month","Never","Never","Never","I don't do this","I don't do this","I don't do this","Very comfortable","I don't do this","Somewhat comfortably","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Not at all comfortable","Not so comfortable","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","18 - 29","Male","$10,000 to $24,999","Mountain"
"78","Protestant",NA,"Yes","Weekly or more","A few times per month","Never","Never","A few times per week","A few times per week","A few times per month","A few times per month","Never","Every day","Once a year or less","Somewhat comfortably","I don't do this","Not so comfortable","Very comfortable","Not so comfortable","Not so comfortable","I don't do this","I don't do this","Extremely comfortable","I don't do this","Not so comfortable","I don't do this","Somewhat comfortably","Not so comfortable","Not so comfortable","Somewhat comfortably","Not so comfortable","I don't do this","Somewhat comfortably","I don't do this","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Somewhat comfortably","60+","Female","Prefer not to answer","West South Central"
"79","Protestant",NA,"No","Weekly or more","Never","Never","Never","A few times per week","Once a month or less","A few times per month","A few times per month","Never","Never","Never","I don't do this","I don't do this","I don't do this","Extremely comfortable","Very comfortable","Extremely comfortable","Extremely comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","Somewhat comfortably","Very comfortable","Somewhat comfortably","I don't do this","I don't do this","I don't do this","Very comfortable","Extremely comfortable","Extremely comfortable","Very comfortable","Extremely comfortable","Very comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","60+","Female","$25,000 to $49,999","New England"
"80","Orthodox Christian",NA,"No","Less than weekly","Once a year or less","Never","Never","Once a year or less","Never","A few times per month","Once a year or less","Never","Never","Never","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","Very comfortable","Not so comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","Somewhat comfortably","Somewhat comfortably","I don't do this","I don't do this","I don't do this","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not so comfortable","Not at all comfortable","Somewhat comfortably","Very comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","60+","Female","$25,000 to $49,999","West North Central"
"81","None of these","Non-denominational spiritual","No","Weekly or more","Never","Never","Never","Once a month or less","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","Not so comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","60+","Female","$25,000 to $49,999","Pacific"
"82","None of these","Non-religious","No","Never","Never","Never","Never","Once a year or less","Never","Once a year or less","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","Not so comfortable","I don't do this","Not at all comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","Not so comfortable","I don't do this","I don't do this","I don't do this","I don't do this","Not so comfortable","Not so comfortable","Not at all comfortable","Not so comfortable","Not at all comfortable","Somewhat comfortably","Not at all comfortable","Very comfortable","Somewhat comfortably","Not at all comfortable","18 - 29","Male","$175,000 to $199,999","Middle Atlantic"
"83","None of these","Anglican","No","Less than weekly","Never","Never","Never","A few times per month","Never","Never","Never","Once a year or less","Never","Never","I don't do this","I don't do this","I don't do this","Extremely comfortable","I don't do this","I don't do this","I don't do this","Extremely comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","I don't do this","I don't do this","Extremely comfortable","I don't do this","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Extremely comfortable","Very comfortable","Very comfortable","60+","Female","$175,000 to $199,999","East North Central"
"84","None of these","None","No","Never","Never","Never","Never","Never","Never","Never","Never",NA,"Never","Never","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Not at all comfortable","Not at all comfortable","Not at all comfortable","Very comfortable","Very comfortable","Very comfortable","60+","Female","$75,000 to $99,999","Pacific"
"85","Protestant",NA,"No","Less than weekly","Once a year or less","A few times per month","A few times per week","A few times per week","A few times per week","A few times per month","Every day","A few times per week","Not applicable to my religious beliefs","Once a year or less","Extremely comfortable","Extremely comfortable","Somewhat comfortably","Extremely comfortable","Not at all comfortable","I don't do this","Very comfortable","Somewhat comfortably","Somewhat comfortably","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable",NA,NA,"Not so comfortable",NA,"Not so comfortable",NA,"Not so comfortable","Not so comfortable","Not so comfortable","45 - 59","Male","$10,000 to $24,999","South Atlantic"
"86","Protestant",NA,"No","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this",NA,"I don't do this","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","45 - 59","Male","$200,000 and up","West North Central"
"87","Jewish",NA,"No","Less than weekly","Never","Never","Once a year or less","Never","Never","A few times per month","A few times per month","Never","Once a month or less","Once a year or less","Extremely comfortable","Extremely comfortable","Extremely comfortable","Somewhat comfortably","Somewhat comfortably","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Somewhat comfortably","Somewhat comfortably","Extremely comfortable","Extremely comfortable","Extremely comfortable","Very comfortable","Extremely comfortable","45 - 59","Male","$200,000 and up","New England"
"88","Protestant",NA,"No","Less than weekly","Never","Never","Once a year or less","Once a year or less","Once a year or less","Once a year or less","Once a year or less","Never","Never","Never","I don't do this","I don't do this","Very comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Somewhat comfortably","I don't do this","I don't do this","Not at all comfortable","Not so comfortable","Not so comfortable","Somewhat comfortably","Not so comfortable","Not so comfortable","Somewhat comfortably",NA,"I don't do this","I don't do this","Not so comfortable","Not so comfortable","Not so comfortable","Very comfortable","Very comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Not so comfortable","60+","Female","$125,000 to $149,999","South Atlantic"
"89","Jewish",NA,"No","Less than weekly","Never","Never","Never","Once a month or less","Never","Once a month or less","Once a year or less","Never","Never","Never","I don't do this","I don't do this","Very comfortable","Very comfortable","I don't do this","Extremely comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","Very comfortable","I don't do this","Very comfortable","Somewhat comfortably","I don't do this","I don't do this","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","60+","Female","Prefer not to answer","Middle Atlantic"
"90","Protestant",NA,"No","Never","Never","Never","Never","Once a year or less","Never","Once a year or less","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Not at all comfortable","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Not so comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Not so comfortable","60+","Female","$50,000 to $74,999","Pacific"
"91","Jewish",NA,"No","Never","Never","Never","Never","Never","Never","Once a year or less","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Extremely comfortable","I don't do this","I don't do this","I don't do this","I don't do this","Not so comfortable","Not so comfortable","Not so comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not so comfortable","Not so comfortable","Not so comfortable","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Very comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","60+","Female","$200,000 and up","Pacific"
"92","Muslim",NA,"No","Weekly or more","Never","Never","Not applicable to my religious beliefs","A few times per week","Not applicable to my religious beliefs","Never","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","45 - 59","Male","$0 to $9,999","East North Central"
"93","None of these","Presbyterian","No","Weekly or more","A few times per week","A few times per month","Never","A few times per month","A few times per month","Once a month or less","Once a month or less","Never","Never","Never","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Not so comfortable","Not so comfortable","Somewhat comfortably","Not so comfortable","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","45 - 59","Male","$125,000 to $149,999","Pacific"
"94","None of these","None","No","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","18 - 29","Male","$10,000 to $24,999","East North Central"
"95","Orthodox Christian",NA,"Yes","Weekly or more","Every day","A few times per week","A few times per week","A few times per week","A few times per month","Once a month or less","Once a month or less","Not applicable to my religious beliefs","A few times per month","Once a month or less","Extremely comfortable","Extremely comfortable","Very comfortable","Extremely comfortable","Extremely comfortable","Somewhat comfortably","Not so comfortable","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Somewhat comfortably","Not so comfortable","I don't do this","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","18 - 29","Male","$10,000 to $24,999","South Atlantic"
"96","None of these","Atheist - but it is NOT a religion","No","Never","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Never","Never","Not applicable to my religious beliefs","Not applicable to my religious beliefs","Not applicable to my religious beliefs","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","I don't do this","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Not at all comfortable","Somewhat comfortably","Very comfortable","Very comfortable","Somewhat comfortably","60+","Female","$50,000 to $74,999","Middle Atlantic"
"97","Atheist",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Extremely comfortable","Somewhat comfortably","Very comfortable","Very comfortable","18 - 29","Male","Prefer not to answer","West South Central"
"98","Roman Catholic",NA,"No","Less than weekly","Never","Never","Never","Never","Never","Never","Never","Once a year or less","Never","Never","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","I don't do this","I don't do this","Somewhat comfortably","I don't do this","I don't do this","Not at all comfortable","Not at all comfortable","Not at all comfortable","Somewhat comfortably","I don't do this","I don't do this","I don't do this","Somewhat comfortably","Somewhat comfortably","I don't do this","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Not so comfortable","Very comfortable","Very comfortable","Very comfortable","60+","Female","$100,000 to $124,999","East North Central"
"99","None of these","pagan","No","Never","Never","Never","Never","Once a month or less","Never","A few times per month","A few times per month","Never","Never","Never","I don't do this","I don't do this","I don't do this","Very comfortable","I don't do this","I don't do this","Very comfortable","I don't do this","I don't do this","I don't do this","Not so comfortable","Not so comfortable","Somewhat comfortably","Somewhat comfortably","I don't do this","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","60+","Female","Prefer not to answer","Middle Atlantic"
"100","None of these","Don't see it on the list.. hard to define.","No","Never","Never","Never","Never","Once a year or less","Never","Once a year or less","Never","Never","Never","Never","I don't do this","I don't do this","I don't do this","Not at all comfortable","I don't do this","Not at all comfortable","Somewhat comfortably","I don't do this","I don't do this","I don't do this","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Not so comfortable","Very comfortable","Very comfortable","Somewhat comfortably","Somewhat comfortably","Not at all comfortable","Somewhat comfortably","Somewhat comfortably","Very comfortable","Very comfortable","Somewhat comfortably","45 - 59","Male","$75,000 to $99,999","East North Central"
